id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
216435,tadora 20mg tablet,Tada 20mg Tablet,Tadact 20 Tablet,Tadovas 20mg Tablet,Bigfun 36 Tablet,Xyorg 20mg Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216447,torvigress 20 tablet,Toraide 20mg Tablet,Torsilem 20mg Tablet,Orsamide 20mg Tablet,Meltor 20 Tablet,Torsid 20 Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
216520,topinate ointment,Bariderm Z Ointment,Leclobe 0.05% Ointment,Hagsol Ointment,Lozivate Ointment,Neosol Ointment,Skin atrophy,Telangiectasia,Skin irritation,Dry skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic skin conditions,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
216525,torvigress 10mg tablet,Torsinol  10 Tablet,Torvel 10 Tablet,TOR 10 Tablet,Meltor 10 Tablet,Torbel 10mg Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
216528,torsid 20 tablet,Torvigress 20 Tablet,Toraide 20mg Tablet,Torsilem 20mg Tablet,Orsamide 20mg Tablet,Meltor 20 Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
216530,torget 5 tablet,Zeetor 5 Tablet,METOR 5MG TABLET,Henletor 5mg Tablet,Lhd 5mg Tablet,Toresa 5 Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
216556,topinate solution,Cvate Solution,Terabet Solution,Saclo Topical Solution,Topsor Solution,Clovate Solution,Skin atrophy,Telangiectasia,Skin irritation,Dry skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic skin conditions,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
216559,tadovas 20mg tablet,Tada 20mg Tablet,Tadact 20 Tablet,Bigfun 36 Tablet,Upwardz 20mg Tablet,Xyorg 20mg Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216563,tricort 10 injection,Comcort 10mg Injection,Darcort 10mg Injection,Corty 10mg Injection,Acort 10mg Injection,Triroid 10mg Injection,Infection,Increased risk of infection,Headache,Joint pain,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Rheumatoid arthritis,Treatment of Osteoarthritis,,,,Glucocorticoids,No,DERMA,Glucocorticoids
216565,thiazide 12.5mg tablet,DavaIndia Hydrochlorothiazide 12.5mg Tablet,Xenia 12.5mg Tablet,Bpzide 12.5mg Tablet,Dizide 12.5mg Tablet,Hyzide 12.5mg Tablet,Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Benzothiadiazines (Thiazides),No,CARDIAC,Low-ceiling Diuretics (Inhibitors of Na+Cl symport)
216615,tendrone cream,,,,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Eczema, Severe allergic reactions,Treatment of Allergic conditions,Treatment of Cancer,Treatment of Skin disorders,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
216620,tormax 10mg tablet,Torsinol  10 Tablet,Torvel 10 Tablet,TOR 10 Tablet,Meltor 10 Tablet,Torbel 10mg Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
