id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
215822,tamodex 10mg tablet,Valodex 10mg Tablet,Xifen 10mg Tablet,Cytotam 10mg Tablet,Entax 10mg Tablet,Moxifen 10mg Tablet,Hot flashes,Nausea,Vaginal discharge,Vaginal bleeding,Mood swings,Fluid retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Breast cancer,,,,,Nonsteroidal Antiestrogen,No,ANTI NEOPLASTICS,Selective estrogen receptor modulators (SERM)- Breast Cx
215825,tricort tablet,Trilone 4mg Tablet,Tacit 4mg Tablet,Kencort 4mg Tablet,Mericort 4mg Tablet,Cortim 4mg Tablet,Reduction in bone density,Upset stomach,Increased risk of infection,Headache,Joint pain,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Rheumatoid arthritis,Treatment of Osteoarthritis,,,,Glucocorticoids,No,DERMA,Glucocorticoids
215856,tadacip 10mg tablet,Tadasure 10mg Tablet,Tadact 10 Tablet,Tadafil 10mg Tablet,Yaw 10 Tablet,Upwardz 10 Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
215857,topcort cream,Momesone Cream,Mfsone Cream,Momtent Cream,Ezimet Cream,Momesone Cream,Stinging sensation,Headache,Sore throat,Itching,Nosebleeds,Viral infection,Upper respiratory tract infection,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin conditions with inflammation & itching,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
215895,torsid 5 tablet,Zeetor 5 Tablet,METOR 5MG TABLET,Henletor 5mg Tablet,Lhd 5mg Tablet,Toresa 5 Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
215903,tadaza 10mg/30mg tablet,Corectil XP Tablet,Funtime XT Gold Tablet,Depofil Tablet,Nuradef D 10mg/30mg Tablet,Edup D 10mg/30mg Tablet,Nausea,Vomiting,Indigestion,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Nosebleeds,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Premature ejaculation,,,,,,No,SEX STIMULANTS REJUVENATORS,
215910,termipil 200mg kit,Medabon 200mg Tablet,Termipil 200mg Tablet,Pregnot 200mg Tablet,Mifecon 200mg Tablet,Relezed 200mg Tablet,Nausea,Vomiting,Uterine cramps,Diarrhea,Infection following abortion,Uterine bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Medical abortion,,,,,Oxosteroid,No,GYNAECOLOGICAL,Anti-progesterone
215919,testoviron depot 100 injection,Testoki 100mg Injection,CERNOS 100 MG INJECTION,Testoretard 100mg Injection,Sustanon 100 Injection,,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
215956,tor 10 tablet,Torsinol  10 Tablet,Torvel 10 Tablet,Meltor 10 Tablet,Durite 10mg Tablet,Torbel 10mg Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
216004,tadafil d 10mg/30mg tablet,Corectil XP Tablet,Funtime XT Gold Tablet,Depofil Tablet,Edup D 10mg/30mg Tablet,Edon-D Tablet,Nausea,Vomiting,Indigestion,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Nosebleeds,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Premature ejaculation,,,,,,No,SEX STIMULANTS REJUVENATORS,
216009,torget 10 tablet,Torsinol  10 Tablet,Torvel 10 Tablet,TOR 10 Tablet,Meltor 10 Tablet,Torbel 10mg Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
